2025-03-31 13:49:23 | ERROR | [None] | 0x1234567890abcdef can't receive a message from AirCraft
2025-03-31 18:02:17 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-03-31 18:03:15 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-03-31 18:03:53 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-03-31 18:04:29 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-03-31 18:09:25 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-03-31 18:09:42 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-03-31 18:11:48 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-03-31 18:13:18 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-03-31 18:13:32 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-03-31 18:13:52 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-04-01 17:32:52 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-04-01 17:35:53 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-04-01 17:36:09 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-04-01 17:36:38 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-04-01 17:37:14 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-04-01 17:37:46 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-04-01 17:38:34 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-04-01 17:38:44 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-04-01 17:39:07 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-04-01 17:43:57 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-04-01 17:45:56 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-04-01 17:46:40 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-04-01 17:50:49 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-04-01 18:50:46 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-04-01 18:51:07 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-04-01 18:51:30 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-04-01 18:54:23 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-04-01 18:55:22 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-04-01 18:56:45 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-04-01 18:57:05 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-04-01 18:58:13 | ERROR | [None] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 not permited
2025-04-02 20:26:42 | ERROR | [self.data.id] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 couldn't get profile info
2025-04-04 15:43:08 | ERROR | [self.data.id] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 sending of transaction was impossible
2025-04-04 15:43:08 | ERROR | [self.data.id] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 couldn't get info to make transaction
2025-04-04 15:43:56 | ERROR | [self.data.id] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 sending of transaction was impossible
2025-04-04 15:43:56 | ERROR | [self.data.id] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 couldn't get info to make transaction
2025-04-04 15:44:16 | ERROR | [self.data.id] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 sending of transaction was impossible
2025-04-04 15:44:16 | ERROR | [self.data.id] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 couldn't get info to make transaction
2025-04-04 15:44:39 | ERROR | [self.data.id] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 sending of transaction was impossible
2025-04-04 15:44:39 | ERROR | [self.data.id] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 couldn't get info to make transaction
2025-04-04 15:45:14 | ERROR | [self.data.id] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 sending of transaction was impossible
2025-04-04 15:45:14 | ERROR | [self.data.id] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 couldn't get info to make transaction
2025-04-04 15:47:16 | ERROR | [self.data.id] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 sending of transaction was impossible
2025-04-04 15:47:16 | ERROR | [self.data.id] | 0x6BdD89d8d575Ef5E6D3279FA667F580c13C27715 couldn't get info to make transaction
